# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_CODON_CHANGE_PLUS_CODON_DELETION	variants_effect_CODON_CHANGE_PLUS_CODON_INSERTION	variants_effect_CODON_DELETION	variants_effect_CODON_INSERTION	variants_effect_DOWNSTREAM	variants_effect_FRAME_SHIFT	variants_effect_INTRON	variants_effect_NON_SYNONYMOUS_CODING	variants_effect_NON_SYNONYMOUS_START	variants_effect_SPLICE_SITE_ACCEPTOR	variants_effect_SPLICE_SITE_DONOR	variants_effect_START_GAINED	variants_effect_START_LOST	variants_effect_STOP_GAINED	variants_effect_STOP_LOST	variants_effect_SYNONYMOUS_CODING	variants_effect_SYNONYMOUS_STOP	variants_effect_TRANSCRIPT	variants_effect_UPSTREAM	variants_effect_UTR_3_PRIME	variants_effect_UTR_5_PRIME
CmoCh03G013080.1	null.5470	CmoCh03G013080.1	protein_coding	0	2	1	17	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	2	0	0	10	0	0
CmoCh03G013090.1	null.5471	CmoCh03G013090.1	protein_coding	0	3	1	37	0	0	0	0	3	0	2	1	0	0	0	0	0	0	0	3	0	0	32	0	0
CmoCh03G013100.1	null.5472	CmoCh03G013100.1	protein_coding	0	8	18	70	0	0	0	0	14	0	49	18	0	0	0	0	0	0	0	8	0	0	7	0	0
CmoCh03G013110.1	null.5473	CmoCh03G013110.1	protein_coding	0	3	1	65	0	0	0	0	32	0	7	1	0	0	0	0	0	0	0	3	0	0	25	1	0
CmoCh03G013120.1	null.5474	CmoCh03G013120.1	protein_coding	0	10	1	55	0	0	0	0	23	0	7	1	0	0	0	0	0	0	0	10	0	0	21	4	0
CmoCh03G013130.1	null.5475	CmoCh03G013130.1	protein_coding	1	2	6	50	0	0	0	0	21	0	3	6	0	0	0	0	0	1	0	2	0	0	18	7	1
CmoCh03G013140.1	null.5476	CmoCh03G013140.1	protein_coding	0	5	9	118	0	0	0	0	42	0	40	9	0	0	0	0	0	0	0	5	0	0	23	13	0
CmoCh03G013150.1	null.5477	CmoCh03G013150.1	protein_coding	1	0	4	62	0	0	0	0	18	0	17	4	0	0	0	0	0	1	0	0	0	0	27	0	0
CmoCh03G013160.1	null.5478	CmoCh03G013160.1	protein_coding	1	0	1	61	0	0	0	0	29	0	2	1	0	0	0	0	0	0	1	0	0	0	30	0	0
CmoCh03G013170.1	null.5479	CmoCh03G013170.1	protein_coding	0	3	4	96	0	0	0	0	36	0	12	4	0	0	0	0	0	0	0	3	0	0	47	0	1
CmoCh03G013180.1	null.5480	CmoCh03G013180.1	protein_coding	0	1	5	77	0	0	0	0	35	0	6	5	0	0	0	0	0	0	0	1	0	0	35	0	1
CmoCh03G013190.1	null.5481	CmoCh03G013190.1	protein_coding	0	1	3	87	0	0	0	0	47	0	15	3	0	0	0	0	0	0	0	1	0	0	24	1	0
CmoCh03G013200.1	null.5482	CmoCh03G013200.1	protein_coding	1	0	3	85	0	0	0	0	25	0	8	3	0	0	1	0	0	0	0	0	0	0	53	0	0
CmoCh03G013210.1	null.5483	CmoCh03G013210.1	protein_coding	0	2	3	80	0	0	0	0	43	0	6	3	0	0	0	0	0	0	0	2	0	0	31	0	0
CmoCh03G013220.1	null.5484	CmoCh03G013220.1	protein_coding	0	1	0	48	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	1	0	0	18	0	0
CmoCh03G013230.1	null.5485	CmoCh03G013230.1	protein_coding	2	1	2	36	0	0	0	0	27	1	3	2	0	1	0	0	0	0	0	1	0	0	7	0	0
CmoCh03G013240.1	null.5486	CmoCh03G013240.1	protein_coding	0	0	0	35	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0
CmoCh03G013250.1	null.5487	CmoCh03G013250.1	protein_coding	1	5	8	27	0	1	0	0	9	0	3	7	0	0	0	1	0	0	1	4	0	0	14	0	1
CmoCh03G013260.1	null.5488	CmoCh03G013260.1	protein_coding	0	2	2	45	0	0	0	0	25	0	11	2	0	0	0	1	0	0	0	1	0	0	8	0	1
CmoCh03G013270.1	null.5489	CmoCh03G013270.1	protein_coding	0	0	0	27	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
CmoCh03G013280.1	null.5490	CmoCh03G013280.1	protein_coding	0	3	0	35	0	0	0	0	13	0	13	0	0	0	0	0	0	0	0	3	0	0	8	1	0
CmoCh03G013290.1	null.5491	CmoCh03G013290.1	protein_coding	0	7	1	28	0	0	0	0	6	0	1	1	0	0	0	0	0	0	0	7	0	0	17	4	0
CmoCh03G013300.1	null.5492	CmoCh03G013300.1	protein_coding	0	2	0	21	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	13	2	4
CmoCh03G013310.1	null.5493	CmoCh03G013310.1	protein_coding	0	0	0	25	0	0	0	0	12	0	1	0	0	0	0	0	0	0	0	0	0	0	12	0	0
CmoCh03G013320.1	null.5494	CmoCh03G013320.1	protein_coding	0	0	0	28	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0
CmoCh03G013330.1	null.5495	CmoCh03G013330.1	protein_coding	0	0	1	49	0	0	0	0	23	0	2	1	0	0	0	0	0	0	0	0	0	0	24	0	0
CmoCh03G013340.1	null.5496	CmoCh03G013340.1	protein_coding	0	3	0	42	0	0	0	0	17	0	18	0	0	0	0	0	0	0	0	3	0	0	6	1	0
CmoCh03G013350.1	null.5497	CmoCh03G013350.1	protein_coding	0	0	0	30	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	23	1	0
CmoCh03G013360.1	null.5498	CmoCh03G013360.1	protein_coding	0	0	0	33	0	0	0	0	24	0	2	0	0	0	0	0	0	0	0	0	0	0	7	0	0
CmoCh03G013370.1	null.5499	CmoCh03G013370.1	protein_coding	0	16	3	48	0	0	0	0	41	0	0	3	0	0	0	0	0	0	0	16	0	0	4	3	0
CmoCh03G013380.1	null.5500	CmoCh03G013380.1	protein_coding	0	5	2	64	0	0	0	0	25	0	0	2	0	0	0	0	0	0	0	5	0	0	39	0	0
CmoCh03G013390.1	null.5501	CmoCh03G013390.1	protein_coding	0	0	1	54	0	0	0	0	13	0	24	1	0	0	0	0	0	0	0	0	0	0	17	0	0
CmoCh03G013400.1	null.5502	CmoCh03G013400.1	protein_coding	0	0	0	55	0	0	0	0	39	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	3
CmoCh03G013410.1	null.5503	CmoCh03G013410.1	protein_coding	0	1	1	41	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	1	0	0	37	0	0
CmoCh03G013420.1	null.5504	CmoCh03G013420.1	protein_coding	0	1	2	52	0	0	0	0	43	0	1	2	0	0	0	0	0	0	0	1	0	0	8	0	0
CmoCh03G013430.1	null.5505	CmoCh03G013430.1	protein_coding	0	2	5	44	0	0	0	0	28	0	0	5	0	0	0	0	0	0	0	2	0	0	16	0	0
CmoCh03G013440.1	null.5506	CmoCh03G013440.1	protein_coding	0	2	0	66	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	2	0	0	23	0	0
CmoCh03G013450.1	null.5507	CmoCh03G013450.1	protein_coding	0	7	8	62	0	0	0	0	34	0	1	8	0	0	0	0	0	0	0	7	0	0	26	1	0
CmoCh03G013460.1	null.5508	CmoCh03G013460.1	protein_coding	0	5	0	77	0	0	0	0	43	0	4	0	0	0	0	0	0	0	0	5	0	0	21	4	5
CmoCh03G013470.1	null.5509	CmoCh03G013470.1	protein_coding	0	5	6	62	0	0	0	0	29	0	0	6	0	0	0	0	0	0	0	5	0	0	33	0	0
CmoCh03G013480.1	null.5510	CmoCh03G013480.1	protein_coding	0	7	9	74	0	0	0	0	12	0	22	9	0	0	0	0	0	0	0	7	0	0	40	0	0
CmoCh03G013490.1	null.5511	CmoCh03G013490.1	protein_coding	0	0	1	54	0	1	0	0	9	0	7	0	0	0	0	0	0	0	0	0	0	0	38	0	0
CmoCh03G013500.1	null.5512	CmoCh03G013500.1	protein_coding	0	5	0	47	0	0	0	0	10	0	11	0	0	0	0	0	0	0	0	5	0	0	19	7	0
CmoCh03G013510.1	null.5513	CmoCh03G013510.1	protein_coding	0	0	1	43	0	0	0	0	15	0	8	1	0	0	0	0	0	0	0	0	0	0	20	0	0
CmoCh03G013520.1	null.5514	CmoCh03G013520.1	protein_coding	0	1	0	43	0	0	0	0	26	0	4	0	0	0	0	0	0	0	0	1	0	0	13	0	0
CmoCh03G013530.1	null.5515	CmoCh03G013530.1	protein_coding	0	10	3	33	0	0	0	0	12	0	5	3	0	0	0	0	0	0	0	10	0	0	16	0	0
CmoCh03G013540.1	null.5516	CmoCh03G013540.1	protein_coding	0	4	7	66	0	0	0	0	44	0	3	7	0	0	0	0	0	0	0	4	0	0	19	0	0
CmoCh03G013550.1	null.5517	CmoCh03G013550.1	protein_coding	0	8	8	75	0	0	0	0	31	0	23	8	0	0	0	0	0	0	0	8	0	0	20	1	0
CmoCh03G013560.1	null.5518	CmoCh03G013560.1	protein_coding	0	5	6	69	0	0	0	0	38	0	3	6	0	0	0	0	0	0	0	5	0	0	28	0	0
CmoCh03G013570.1	null.5519	CmoCh03G013570.1	protein_coding	0	13	6	83	0	0	0	0	34	0	12	6	0	0	0	0	0	0	0	13	0	0	31	6	0
CmoCh03G013580.1	null.5520	CmoCh03G013580.1	protein_coding	0	13	11	76	0	0	0	0	7	0	31	11	0	0	0	0	0	0	0	13	0	0	32	6	0
CmoCh03G013590.1	null.5521	CmoCh03G013590.1	protein_coding	0	0	1	35	0	0	0	0	20	0	1	1	0	0	0	0	0	0	0	0	0	0	10	3	1
CmoCh03G013600.1	null.5522	CmoCh03G013600.1	protein_coding	0	2	2	22	0	0	0	0	10	0	2	2	0	0	0	0	0	0	0	2	0	0	10	0	0
CmoCh03G013610.1	null.5523	CmoCh03G013610.1	protein_coding	0	0	0	22	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0
CmoCh03G013620.1	null.5524	CmoCh03G013620.1	protein_coding	0	0	0	24	0	0	0	0	8	0	8	0	0	0	0	0	0	0	0	0	0	0	8	0	0
CmoCh03G013630.1	null.5525	CmoCh03G013630.1	protein_coding	0	5	2	26	0	0	0	0	7	0	9	2	0	0	0	0	0	0	0	5	0	0	10	0	0
CmoCh03G013640.1	null.5526	CmoCh03G013640.1	protein_coding	0	2	1	36	0	0	0	0	14	0	8	1	0	0	0	0	0	0	0	2	0	0	14	0	0
CmoCh03G013650.1	null.5527	CmoCh03G013650.1	protein_coding	0	1	1	25	0	0	0	0	8	0	2	1	0	0	0	0	0	0	0	1	0	0	15	0	0
CmoCh03G013660.1	null.5528	CmoCh03G013660.1	protein_coding	0	0	0	24	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
CmoCh03G013670.1	null.5529	CmoCh03G013670.1	protein_coding	0	0	0	23	0	0	0	0	6	0	3	0	0	0	0	0	0	0	0	0	0	0	14	0	0
CmoCh03G013680.1	null.5530	CmoCh03G013680.1	protein_coding	0	2	1	42	0	0	0	0	14	0	23	1	0	0	0	0	0	0	0	2	0	0	3	2	0
CmoCh03G013690.1	null.5531	CmoCh03G013690.1	protein_coding	0	0	0	40	0	0	0	0	20	0	13	0	0	0	0	0	0	0	0	0	0	0	4	0	3
CmoCh03G013700.1	null.5532	CmoCh03G013700.1	protein_coding	0	0	0	29	0	0	0	0	14	0	2	0	0	0	0	0	0	0	0	0	0	0	13	0	0
CmoCh03G013710.1	null.5533	CmoCh03G013710.1	protein_coding	0	1	0	47	0	0	0	0	31	0	10	0	0	0	0	0	0	0	0	1	0	0	6	0	0
CmoCh03G013720.1	null.5534	CmoCh03G013720.1	protein_coding	0	1	2	48	0	0	0	0	36	0	0	2	0	0	0	0	0	0	0	1	0	0	12	0	0
CmoCh03G013730.1	null.5535	CmoCh03G013730.1	protein_coding	0	9	1	35	0	0	0	0	2	0	19	1	0	0	0	0	0	0	0	9	0	0	12	2	0
CmoCh03G013740.1	null.5536	CmoCh03G013740.1	protein_coding	0	1	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0
CmoCh03G013750.1	null.5537	CmoCh03G013750.1	protein_coding	0	1	0	13	0	0	0	0	10	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0
CmoCh03G013760.1	null.5538	CmoCh03G013760.1	protein_coding	0	6	1	10	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	6	0	0	6	0	0
CmoCh03G013770.1	null.5539	CmoCh03G013770.1	protein_coding	0	2	1	15	0	0	0	0	2	0	3	1	0	0	0	0	0	0	0	2	0	0	10	0	0
CmoCh03G013780.1	null.5540	CmoCh03G013780.1	protein_coding	0	0	0	34	0	0	0	0	26	0	3	0	0	0	0	0	0	0	0	0	0	0	5	0	0
CmoCh03G013790.1	null.5541	CmoCh03G013790.1	protein_coding	0	5	1	24	0	0	0	0	13	0	5	1	0	0	0	0	0	0	0	5	0	0	4	2	0
CmoCh03G013800.1	null.5542	CmoCh03G013800.1	protein_coding	0	0	0	30	0	0	0	0	16	0	13	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh03G013810.1	null.5543	CmoCh03G013810.1	protein_coding	0	0	0	38	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0
CmoCh03G013820.1	null.5544	CmoCh03G013820.1	protein_coding	0	0	0	35	0	0	0	0	25	0	1	0	0	0	0	0	0	0	0	0	0	0	9	0	0
CmoCh03G013830.1	null.5545	CmoCh03G013830.1	protein_coding	0	0	0	23	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0
CmoCh03G013840.1	null.5546	CmoCh03G013840.1	protein_coding	0	4	2	44	0	0	0	0	1	0	38	2	0	0	0	0	0	0	0	4	0	0	5	0	0
CmoCh03G013850.1	null.5547	CmoCh03G013850.1	protein_coding	0	0	2	33	0	0	0	0	21	0	0	2	0	0	0	0	0	0	0	0	0	0	12	0	0
CmoCh03G013860.1	null.5548	CmoCh03G013860.1	protein_coding	0	2	3	34	0	0	0	0	11	0	7	3	0	0	0	0	0	0	0	2	0	0	16	0	0
CmoCh03G013870.1	null.5549	CmoCh03G013870.1	protein_coding	0	6	1	32	0	0	0	0	13	0	3	1	0	0	0	0	0	0	0	6	0	0	13	2	1
CmoCh03G013880.1	null.5550	CmoCh03G013880.1	protein_coding	0	1	2	37	0	0	0	0	13	0	9	2	0	0	0	0	0	0	0	1	0	0	15	0	0
CmoCh03G013890.1	null.5551	CmoCh03G013890.1	protein_coding	1	3	3	35	0	0	0	0	12	0	20	3	0	0	0	0	0	1	0	3	0	0	3	0	0
CmoCh03G013900.1	null.5552	CmoCh03G013900.1	protein_coding	0	0	0	30	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
CmoCh03G013910.1	null.5553	CmoCh03G013910.1	protein_coding	0	0	0	20	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
CmoCh03G013920.1	null.5554	CmoCh03G013920.1	protein_coding	0	3	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0
CmoCh03G013930.1	null.5555	CmoCh03G013930.1	protein_coding	0	2	4	25	0	0	0	0	12	0	11	4	0	0	0	0	0	0	0	2	0	0	2	0	0
CmoCh03G013940.1	null.5556	CmoCh03G013940.1	protein_coding	0	0	0	46	0	0	0	0	14	0	1	0	0	0	0	0	0	0	0	0	0	0	29	2	0
CmoCh03G013950.1	null.5557	CmoCh03G013950.1	protein_coding	1	3	4	36	0	0	0	0	18	0	4	4	0	0	0	0	0	0	1	3	0	0	14	0	0
CmoCh03G013960.1	null.5558	CmoCh03G013960.1	protein_coding	0	3	1	38	0	0	0	0	21	0	0	1	0	0	0	0	0	0	0	3	0	0	17	0	0
CmoCh03G013970.1	null.5559	CmoCh03G013970.1	protein_coding	0	2	0	31	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	2	0	0	15	0	0
CmoCh03G013980.1	null.5560	CmoCh03G013980.1	protein_coding	0	0	0	28	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0
CmoCh03G013990.1	null.5561	CmoCh03G013990.1	protein_coding	0	0	2	30	0	0	0	0	0	0	17	2	0	0	0	0	0	0	0	0	0	0	13	0	0
CmoCh03G014000.1	null.5562	CmoCh03G014000.1	protein_coding	0	0	0	38	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0
CmoCh03G014010.1	null.5563	CmoCh03G014010.1	protein_coding	0	4	3	22	0	0	0	0	0	0	18	3	0	0	0	0	0	0	0	4	0	0	4	0	0
CmoCh03G014020.1	null.5564	CmoCh03G014020.1	protein_coding	0	3	0	43	0	0	0	0	22	0	4	0	0	0	0	0	0	0	0	3	0	0	17	0	0
CmoCh03G014030.1	null.5565	CmoCh03G014030.1	protein_coding	0	0	0	29	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
CmoCh03G014040.1	null.5566	CmoCh03G014040.1	protein_coding	0	0	0	30	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
CmoCh03G014050.1	null.5567	CmoCh03G014050.1	protein_coding	0	0	0	45	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0
CmoCh03G014060.1	null.5568	CmoCh03G014060.1	protein_coding	0	0	0	45	0	0	0	0	26	0	9	0	0	0	0	0	0	0	0	0	0	0	10	0	0
CmoCh03G014070.1	null.5569	CmoCh03G014070.1	protein_coding	0	0	0	26	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
CmoCh03G014080.1	null.5570	CmoCh03G014080.1	protein_coding	0	0	0	26	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0
CmoCh03G014090.1	null.5571	CmoCh03G014090.1	protein_coding	0	0	0	17	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh03G014100.1	null.5572	CmoCh03G014100.1	protein_coding	0	3	0	14	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	12	0	0
CmoCh03G014110.1	null.5573	CmoCh03G014110.1	protein_coding	0	0	0	19	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0
CmoCh03G014120.1	null.5574	CmoCh03G014120.1	protein_coding	0	1	0	31	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	1	0	0	16	0	0
CmoCh03G014130.1	null.5575	CmoCh03G014130.1	protein_coding	0	0	0	49	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0
CmoCh03G014140.1	null.5576	CmoCh03G014140.1	protein_coding	0	6	2	46	0	0	0	0	21	0	16	2	0	0	0	0	0	0	0	6	0	0	5	4	0
CmoCh03G014150.1	null.5577	CmoCh03G014150.1	protein_coding	0	0	0	61	0	0	0	0	27	0	6	0	0	0	0	0	0	0	0	0	0	0	23	5	0
CmoCh03G014160.1	null.5578	CmoCh03G014160.1	protein_coding	0	2	2	52	0	0	0	0	28	0	1	2	0	0	0	0	0	0	0	2	0	0	21	2	0
CmoCh03G014170.1	null.5579	CmoCh03G014170.1	protein_coding	0	2	2	46	0	0	0	0	21	0	1	2	0	0	0	0	0	0	0	2	0	0	24	0	0
CmoCh03G014180.1	null.5580	CmoCh03G014180.1	protein_coding	0	2	3	51	0	0	0	0	19	0	5	3	0	0	0	0	0	0	0	2	0	0	27	0	0
CmoCh03G014190.1	null.5581	CmoCh03G014190.1	protein_coding	0	5	7	51	0	0	0	0	17	0	13	7	0	0	0	1	0	0	0	4	0	0	19	0	2
CmoCh03G014200.1	null.5582	CmoCh03G014200.1	protein_coding	0	2	3	102	0	0	0	0	15	0	60	3	0	0	0	0	0	0	0	2	0	0	27	0	0
CmoCh03G014210.1	null.5583	CmoCh03G014210.1	protein_coding	0	4	3	50	0	0	0	0	22	0	4	3	0	0	0	0	0	0	0	4	0	0	24	0	0
CmoCh03G014220.1	null.5584	CmoCh03G014220.1	protein_coding	0	11	13	80	0	0	0	0	16	0	20	13	0	0	0	0	0	0	0	11	0	0	41	3	0
CmoCh03G014230.1	null.5585	CmoCh03G014230.1	protein_coding	0	0	0	82	0	0	0	0	11	0	34	0	0	0	0	0	0	0	0	0	0	0	34	3	0
CmoCh03G014240.1	null.5586	CmoCh03G014240.1	protein_coding	0	7	6	57	0	0	0	0	35	0	16	6	0	0	0	0	0	0	0	7	0	0	6	0	0
CmoCh03G014250.1	null.5587	CmoCh03G014250.1	protein_coding	0	8	5	58	0	0	0	0	30	0	19	5	0	0	0	0	0	0	0	8	0	0	4	0	5
CmoCh03G014260.1	null.5588	CmoCh03G014260.1	protein_coding	0	1	1	76	0	0	0	0	4	0	25	1	0	0	0	0	0	0	0	1	0	0	47	0	0
CmoCh03G014270.1	null.5589	CmoCh03G014270.1	protein_coding	0	11	5	86	0	0	0	0	24	0	27	5	0	0	0	0	0	0	0	11	0	0	34	1	0
CmoCh03G014280.1	null.5590	CmoCh03G014280.1	protein_coding	0	16	10	108	0	0	0	0	60	0	10	10	0	0	0	0	0	0	0	16	0	0	36	2	0
CmoCh03G014290.1	null.5591	CmoCh03G014290.1	protein_coding	0	15	7	96	0	0	0	0	20	0	34	7	0	0	0	0	0	0	0	15	0	0	38	4	0
CmoCh03G014300.1	null.5592	CmoCh03G014300.1	protein_coding	0	6	1	104	0	0	0	0	31	0	9	1	0	0	0	0	0	0	0	6	0	0	60	4	0
CmoCh03G014310.1	null.5593	CmoCh03G014310.1	protein_coding	0	13	9	88	0	0	0	0	15	0	32	9	0	0	0	0	0	0	0	13	0	0	41	0	0
CmoCh03G014320.1	null.5594	CmoCh03G014320.1	protein_coding	1	0	1	83	0	0	0	0	31	1	13	1	0	0	0	0	0	0	0	0	0	0	39	0	0
CmoCh03G014330.1	null.5595	CmoCh03G014330.1	protein_coding	1	14	11	66	0	0	0	0	5	0	39	11	0	0	0	0	0	1	0	14	0	0	22	0	0
CmoCh03G014340.1	null.5596	CmoCh03G014340.1	protein_coding	0	1	2	41	0	0	0	0	8	0	11	2	0	0	0	1	0	0	0	0	0	0	19	0	3
CmoCh03G014350.1	null.5597	CmoCh03G014350.1	protein_coding	0	1	5	2	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	1	0	0	0	0	0
CmoCh03G014360.1	null.5598	CmoCh03G014360.1	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
CmoCh03G014370.1	null.5599	CmoCh03G014370.1	protein_coding	0	0	0	14	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	8	1	0
CmoCh03G014380.1	null.5600	CmoCh03G014380.1	protein_coding	0	2	0	12	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0
CmoCh03G014390.1	null.5601	CmoCh03G014390.1	protein_coding	0	6	4	33	0	0	0	0	13	0	12	4	0	0	0	0	0	0	0	6	0	0	8	0	0
CmoCh03G014400.1	null.5602	CmoCh03G014400.1	protein_coding	0	1	0	68	0	0	0	0	22	0	33	0	0	0	0	0	0	0	0	1	0	0	13	0	0
CmoCh03G014410.1	null.5603	CmoCh03G014410.1	protein_coding	0	5	0	89	0	0	0	0	60	0	24	0	0	0	0	0	0	0	0	5	0	0	0	5	0
CmoCh03G014420.1	null.5604	CmoCh03G014420.1	protein_coding	0	18	6	99	0	0	0	0	22	0	35	6	0	0	0	0	0	0	0	18	0	0	40	0	2
CmoCh03G014430.1	null.5605	CmoCh03G014430.1	protein_coding	0	1	0	73	0	0	0	0	34	0	9	0	0	0	0	0	0	0	0	1	0	0	18	12	0
CmoCh03G014440.1	null.5606	CmoCh03G014440.1	protein_coding	0	2	1	41	0	0	0	0	14	0	9	1	0	0	0	0	0	0	0	2	0	0	18	0	0
CmoCh03G014450.1	null.5607	CmoCh03G014450.1	protein_coding	0	1	0	32	0	0	0	0	4	0	16	0	0	0	0	0	0	0	0	1	0	0	12	0	0
CmoCh03G014460.1	null.5608	CmoCh03G014460.1	protein_coding	0	0	0	39	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0
CmoCh03G014470.1	null.5609	CmoCh03G014470.1	protein_coding	0	0	0	40	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0
CmoCh03G014480.1	null.5610	CmoCh03G014480.1	protein_coding	0	4	5	57	0	0	0	0	15	0	41	5	0	0	0	0	0	0	0	4	0	0	1	0	0
CmoCh03G014490.1	null.5611	CmoCh03G014490.1	protein_coding	1	1	3	82	0	0	0	0	30	0	10	3	0	0	0	0	0	1	0	1	0	0	42	0	0
CmoCh03G014500.1	null.5612	CmoCh03G014500.1	protein_coding	0	0	0	52	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0
CmoCh03G014510.1	null.5613	CmoCh03G014510.1	protein_coding	0	10	20	45	0	0	0	0	30	0	0	20	0	0	0	0	0	0	0	10	0	0	15	0	0
CmoCh03G014520.1	null.5614	CmoCh03G014520.1	protein_coding	0	0	0	60	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0
CmoCh03G014530.1	null.5615	CmoCh03G014530.1	protein_coding	0	11	6	43	0	0	0	0	26	0	0	6	0	0	0	0	0	0	0	11	0	0	17	0	0
CmoCh03G014540.1	null.5616	CmoCh03G014540.1	protein_coding	0	4	0	43	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	39	0	0
CmoCh03G014550.1	null.5617	CmoCh03G014550.1	protein_coding	0	0	0	64	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0
CmoCh03G014560.1	null.5618	CmoCh03G014560.1	protein_coding	1	5	3	69	0	0	0	0	38	0	27	3	0	0	0	0	0	1	0	5	0	0	0	4	0
CmoCh03G014570.1	null.5619	CmoCh03G014570.1	protein_coding	0	1	1	83	0	0	0	0	48	0	7	1	0	0	0	0	0	0	0	1	0	0	28	0	0
CmoCh03G014580.1	null.5620	CmoCh03G014580.1	protein_coding	0	6	1	58	0	0	0	0	38	0	0	1	0	0	0	0	0	0	0	6	0	0	20	0	0
CmoCh03G014590.1	null.5621	CmoCh03G014590.1	protein_coding	0	1	1	63	0	0	0	0	33	0	0	1	0	0	0	0	0	0	0	1	0	0	30	0	0
CmoCh03G014600.1	null.5622	CmoCh03G014600.1	protein_coding	0	6	5	24	0	0	0	0	9	0	0	5	0	0	0	0	0	0	0	6	0	0	15	0	0
CmoCh03G014610.1	null.5623	CmoCh03G014610.1	protein_coding	0	1	4	33	0	0	0	0	23	0	4	4	0	0	0	0	0	0	0	1	0	0	6	0	0
CmoCh03G014620.1	null.5624	CmoCh03G014620.1	protein_coding	0	0	1	64	0	0	0	0	3	0	2	1	0	0	0	0	0	0	0	0	0	0	59	0	0
CmoCh03G014630.1	null.5625	CmoCh03G014630.1	protein_coding	0	1	2	101	0	0	0	0	6	0	51	2	0	0	0	0	0	0	0	1	0	0	44	0	0
CmoCh03G014640.1	null.5626	CmoCh03G014640.1	protein_coding	1	7	12	81	0	1	0	0	59	0	2	11	0	0	0	0	0	1	0	7	0	0	20	0	0
CmoCh03G014650.1	null.5627	CmoCh03G014650.1	protein_coding	1	1	4	71	0	0	0	0	39	0	0	4	0	0	0	0	0	1	0	1	0	0	32	0	0
CmoCh03G014660.1	null.5628	CmoCh03G014660.1	protein_coding	0	5	1	116	0	0	0	0	44	0	41	1	0	0	0	0	0	0	0	5	0	0	31	0	0
